id,in_usa,race,arm_id,context_batch_id,commitment,ethnicity,captcha,sex,option_preference,discriminated,option_attention,garbage,option_attention_truth,consent,age,batch_id,prolific_id,phase
15,True,race_white,13,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,65.0,1,663ebf3b787d7053ac9b7669,warmup
16,True,race_white,8,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,51.0,1,66294efa319bed0330e8bd75,warmup
17,True,"race_aian, race_white",6,1,yes,hisp_latin_spanish_no,Purple,female,0,True,0,False,0,True,28.0,1,6670c50f9949af16c42d9f0b,warmup
18,True,race_white,4,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,24.0,1,66441863c6ae7938f0e91254,warmup
19,True,"race_asian, race_white",8,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,33.0,1,65be551688d8b16754fea76d,warmup
20,True,race_white,15,1,yes,hisp_latin_spanish_yes,purple,female,1,True,1,False,1,True,24.0,1,665f53a83f8f72ce0cdaf0d5,warmup
21,True,race_white,12,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,32.0,1,65f737f0d181f6f9f400cc51,warmup
22,True,race_aian,16,1,yes,hisp_latin_spanish_yes,purple,male,0,False,1,False,1,True,29.0,1,6349146a3cea617bfd8da767,warmup
23,True,race_white,8,1,yes,hisp_latin_spanish_no,purple,male,1,False,0,False,0,True,52.0,1,56e72067c89073000be77fdf,warmup
24,True,race_white,10,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,25.0,1,6098231fc842eeeb4f797b60,warmup
25,True,race_white,2,1,yes,hisp_latin_spanish_no,Purple,female,0,True,0,False,0,True,35.0,1,663a744974dab5746a39c0cf,warmup
26,True,race_white,9,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,25.0,1,62ea16a43cfd7e01ebcf715d,warmup
27,True,"race_black, race_white",9,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,28.0,1,660b620d92025e7b635acb27,warmup
28,True,race_white,9,1,yes,hisp_latin_spanish_no,Purple,female,1,True,1,False,1,True,53.0,1,66298283ee6c185b764d3723,warmup
29,True,race_white,7,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,22.0,1,6628262114f4dd5ffe883464,warmup
30,True,race_asian,15,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,58.0,1,6632474b4e864e2f3fd87711,warmup
31,True,race_white,10,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,31.0,1,5b4d31673d01bd0001ec447e,warmup
32,True,race_asian,10,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,21.0,1,65ae8f9e4759bc731dbc6e43,warmup
33,True,race_white,10,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,32.0,1,6301bea375d97d2ebbd2a107,warmup
34,True,race_white,6,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,36.0,1,660443c5c86206f906f8762e,warmup
35,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,1,False,0,False,0,True,30.0,1,57a8abb3dcff7d0001c7d5a3,warmup
36,True,race_white,12,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,25.0,1,6112dba8e2eb90519a46e6cf,warmup
37,True,"race_aian, race_white",15,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,44.0,1,663668f32d059d161d39dcbe,warmup
38,True,"race_asian, race_black",2,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,30.0,1,664039776f36b58f51ff9c20,warmup
39,True,race_asian,9,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,27.0,1,65cbdeafd1d03c67a4d77b2c,warmup
40,True,race_white,3,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,40.0,1,6002dac201332230675852a2,warmup
41,True,race_white,11,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,54.0,1,66635bbf232bcc6a15b22330,warmup
42,True,race_white,4,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,37.0,1,5bd4143d669ee1000144ac35,warmup
43,True,race_black,13,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,22.0,1,600478fb0b9897255d0592be,warmup
44,True,race_white,4,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,54.0,1,64d5342470dcb3727413cbb8,warmup
45,True,race_aian,6,1,yes,hisp_latin_spanish_yes,purple,female,0,True,0,False,0,True,22.0,1,60fce0005a801ae67b99036c,warmup
46,True,race_white,10,1,yes,hisp_latin_spanish_yes,purple ,male,0,False,1,True,1,True,31.0,1,62b6b152afc0e48dcd63c05e,warmup
47,True,race_white,2,1,yes,hisp_latin_spanish_yes,purple,male,0,True,0,False,0,True,23.0,1,63379b05773c5c7387be019f,warmup
48,True,race_black,13,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,36.0,1,65cae622bfe64d1b4253e8b6,warmup
49,True,race_white,9,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,34.0,1,61646529370e6a2eb6ed74cc,warmup
50,True,race_white,6,1,yes,hisp_latin_spanish_yes,purple,female,0,True,0,False,0,True,34.0,1,5ff7f0c1ea58f65229df9453,warmup
51,True,race_white,3,1,yes,hisp_latin_spanish_no,purple ,female,0,True,0,True,0,True,51.0,1,572d5b9e109ab60010517718,warmup
52,True,race_white,8,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,23.0,1,5eed87e4d8a3281c63b64683,warmup
53,True,race_white,7,1,yes,hisp_latin_spanish_no,purple ,female,0,True,0,True,0,True,48.0,1,6107fc49a32960d2683676fc,warmup
54,True,race_white,10,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,31.0,1,666df6d3dc9f2e1de77b04bf,warmup
55,True,race_asian,2,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,32.0,1,5f2df42324e8d813b1c620d2,warmup
56,True,race_white,3,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,23.0,1,62a0f1e07a081dc9a79c018f,warmup
57,True,race_white,8,1,yes,hisp_latin_spanish_no,Purple ,female,0,True,0,True,0,True,68.0,1,65f34dc4b5fa898f02380970,warmup
58,True,race_black,11,1,yes,hisp_latin_spanish_no,purple,male,1,False,0,False,0,True,39.0,1,5c45b1aa3854d5000129a075,warmup
59,True,race_white,15,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,53.0,1,65341cf55a38404530640e5e,warmup
60,True,race_white,13,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,27.0,1,5e62dbd8142c3c08017d8728,warmup
61,True,race_white,4,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,26.0,1,5e8e01b6835f3608583cd894,warmup
62,True,race_white,14,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,34.0,1,5e1acf538a76fb3199730ce4,warmup
63,True,race_white,10,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,43.0,1,60e0ccb2c3f51bd6f72f97f9,warmup
64,True,race_white,12,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,27.0,1,61200d9dee82041bf3ae9bd3,warmup
65,True,race_white,5,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,32.0,1,63cffe69ec33b3a776d6660e,warmup
66,True,race_white,2,1,yes,hisp_latin_spanish_no,purple,female,0,True,2,True,0,True,54.0,1,66548e868d275df69c7890c3,warmup
67,True,race_asian,12,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,21.0,1,6100818e5e4341f9725ba47f,warmup
68,True,race_asian,6,1,yes,hisp_latin_spanish_no,purple ,male,1,False,1,True,0,True,27.0,1,661c192305de463b9f025ed0,warmup
69,True,race_black,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,22.0,1,63f78071721a6cacdd63d835,warmup
70,True,race_white,16,1,yes,hisp_latin_spanish_yes,purple,female,1,False,0,False,0,True,29.0,1,6650133388b6dfcde2cc1d46,warmup
71,True,race_white,5,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,47.0,1,631ff899c56260cb62016bca,warmup
72,True,race_white,10,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,52.0,1,662a39e7f5eb28e44efa302e,warmup
73,True,race_white,16,1,yes,hisp_latin_spanish_yes,purple,female,0,False,1,False,1,True,49.0,1,6629629c0b8b0a25865ba1c0,warmup
74,True,"race_black, race_white",15,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,35.0,1,6633ce3029614454d2422f1b,warmup
75,True,race_white,16,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,27.0,1,5a8891155292b800012316a8,warmup
76,True,race_white,6,1,yes,hisp_latin_spanish_no,purple,male,0,False,1,False,1,True,32.0,1,60144cac1e8f203e861fc5f6,warmup
77,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,35.0,1,5c8d5a31d127f2001ac45511,warmup
78,True,race_white,12,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,26.0,1,63d7a0c6fe36d852418ac97a,warmup
79,True,race_asian,16,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,26.0,1,5e3b31169c771734a5ac8226,warmup
80,True,"race_aian, race_black",8,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,26.0,1,6670c4fd238ca24e2f9ed57a,warmup
81,True,race_white,16,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,40.0,1,664f5d097e95613ce719db78,warmup
82,True,race_white,9,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,44.0,1,60dfd72817ea2f37bba6b24a,warmup
83,True,race_other,5,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,29.0,1,62698063a6912c0277b32f57,warmup
84,True,"race_asian, race_black, race_white",10,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,31.0,1,5f91fe1f5ed1060f5afb58a7,warmup
85,True,race_black,4,1,yes,hisp_latin_spanish_yes,purple,female,1,False,0,False,0,True,25.0,1,5bbe6691ba8d7d0001951ef9,warmup
86,True,race_white,12,1,yes,hisp_latin_spanish_yes,purple,female,1,True,1,False,1,True,38.0,1,65fb0b64c38b93cb2f397dfb,warmup
87,True,race_white,15,1,yes,hisp_latin_spanish_no,purple,male,0,False,1,False,1,True,35.0,1,609b6007c0896ac992a5004a,warmup
88,True,race_white,7,1,yes,hisp_latin_spanish_yes,purple,female,0,True,0,False,0,True,27.0,1,6642982c6b2b677499d5de75,warmup
89,True,race_asian,1,1,yes,hisp_latin_spanish_no,purple,male,0,False,1,False,1,True,22.0,1,60ff5cd36ed5a267f814bf36,warmup
90,True,race_white,13,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,37.0,1,663a3a0454c0e222f4ebb896,warmup
91,True,race_white,3,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,29.0,1,6290dbc6978798eca8e810dd,warmup
92,True,race_asian,13,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,24.0,1,5d17ce93ac37cd0019535088,warmup
93,True,race_white,9,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,29.0,1,5d5618b69cd0f20015e1ab0d,warmup
94,True,race_white,14,1,yes,hisp_latin_spanish_no,purple,,0,True,0,False,0,True,35.0,1,5ec17a2e02be030625eaff6e,warmup
95,True,race_white,6,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,61.0,1,5dd6f563270f44688d3cd745,warmup
96,True,race_white,7,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,72.0,1,60c76fb5887b0728245b0695,warmup
97,True,"race_asian, race_white",11,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,26.0,1,62796bcdbbd853337a4b80a2,warmup
98,True,race_white,7,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,24.0,1,60fc54b735f3211d0d10a371,warmup
99,True,race_white,15,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,20.0,1,61620cf0045af34fd90269c8,warmup
100,True,race_black,2,1,yes,hisp_latin_spanish_no,purple,male,0,False,1,False,1,True,23.0,1,5f5fa55d3aa555022fd411bc,warmup
101,True,race_asian,12,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,30.0,1,6594bc0d3811c42c35f9ebda,warmup
102,True,race_white,6,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,20.0,1,5f1f0be816ec420a1e18e3dc,warmup
103,True,"race_black, race_white, race_other",16,1,yes,hisp_latin_spanish_yes,purple,female,0,False,1,False,1,True,27.0,1,5f0160c161fa112b27e788f6,warmup
104,True,race_white,4,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,46.0,1,666b80a933fd24a9b85730ba,warmup
105,True,race_white,12,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,31.0,1,60ff73944b8a448452e215ec,warmup
106,True,race_white,7,1,yes,hisp_latin_spanish_no,purple,,0,True,0,False,0,True,23.0,1,5d30bbf8b8f79a0019e3c1ce,warmup
107,True,race_white,2,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,34.0,1,651aeca5aa91c0f2a2620a47,warmup
108,True,race_black,2,1,yes,hisp_latin_spanish_no,purple,male,1,False,0,False,0,True,40.0,1,63ed0d2038dc8c92ebfbbbe7,warmup
109,True,"race_asian, race_white",5,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,35.0,1,5d705d858c1aea0016d900a1,warmup
110,True,race_white,12,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,46.0,1,56ee521a65ca4d000cc39e55,warmup
111,True,race_asian,13,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,31.0,1,5c4c7944cc16bc0001f96a18,warmup
112,True,"race_asian, race_white",5,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,23.0,1,65ea95cc77595789dd768180,warmup
113,True,race_white,16,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,21.0,1,6115bb731c445ab5a7289b9e,warmup
114,True,race_white,3,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,21.0,1,63d8032fd2b4f1648f8ca4db,warmup
115,True,race_asian,7,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,29.0,1,655fe22544eeae73f71e3522,warmup
116,True,race_black,16,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,48.0,1,5c9365dd2da08a000181920d,warmup
117,True,race_white,7,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,54.0,1,5d4c78071b920f00198e8533,warmup
118,True,race_asian,8,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,37.0,1,608db0d33c7ffc2af3600478,warmup
119,True,race_black,15,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,35.0,1,65add0950cc74fc6024f5b6a,warmup
120,True,race_white,4,1,yes,hisp_latin_spanish_no,Purple,female,1,True,1,False,1,True,45.0,1,657b63bd8b304f325507e327,warmup
121,True,"race_black, race_white",11,1,yes,hisp_latin_spanish_no,purple,female,0,True,2,True,0,True,41.0,1,6633a3960d8eb4bfd4337301,warmup
122,True,race_black,13,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,28.0,1,63b75bc61d37e0a3f9b866ed,warmup
123,True,race_black,12,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,25.0,1,5f29109240b4f4000bfd5a06,warmup
124,True,race_black,5,1,yes,hisp_latin_spanish_yes,purple,female,0,True,0,False,0,True,38.0,1,5dd6b5720f8d5163ac1e876e,warmup
125,True,race_black,5,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,65.0,1,5af02a8bda839c0001e4cde7,warmup
126,True,race_white,2,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,33.0,1,5f9a25f467c68d13eaa9cc5c,warmup
127,True,race_white,13,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,32.0,1,5a78e410ae9a0b0001a97274,warmup
128,True,race_white,4,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,41.0,1,666c453b833e8ad9c85526fd,warmup
129,True,race_asian,14,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,28.0,1,650b078cdb1555451a0c36c3,warmup
130,True,race_asian,1,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,36.0,1,665ca7d480cb5644ea5ce15d,warmup
131,True,race_white,4,1,yes,hisp_latin_spanish_no,purple,male,1,False,0,False,0,True,26.0,1,5f6d2c9bb73efc1a1cdcfcd7,warmup
132,True,race_other,6,1,yes,hisp_latin_spanish_yes,purple,female,1,False,2,True,0,True,23.0,1,66524b299704097838dc2cbc,warmup
133,True,race_white,16,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,47.0,1,6631214647b02b950f7aa9e3,warmup
134,True,race_white,5,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,38.0,1,5ac6cc039534ba0001c75642,warmup
135,True,race_white,7,1,yes,hisp_latin_spanish_yes,purple,male,0,True,0,False,0,True,41.0,1,56b0c0006399f9000ad8cf97,warmup
136,True,race_other,9,1,yes,hisp_latin_spanish_yes,purple,female,0,False,1,False,1,True,37.0,1,6654f90a65450704475b6dbf,warmup
137,True,race_black,11,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,28.0,1,664631fc8b6374dea500be09,warmup
138,True,race_white,1,1,yes,hisp_latin_spanish_yes,purple,male,0,True,0,False,0,True,69.0,1,5b3e57b3c2e381000175e656,warmup
139,True,race_white,12,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,41.0,1,61118cf8dd195d72acb7594a,warmup
140,True,race_white,10,1,yes,hisp_latin_spanish_no,purple,male,1,False,0,False,0,True,24.0,1,64136adc3a40777bfe518cc0,warmup
141,True,race_white,8,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,51.0,1,667097dd122224d8cd555f82,warmup
142,True,race_white,6,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,36.0,1,6654ff0aad7b9189f8ec3e6a,warmup
143,True,race_white,7,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,52.0,1,5eb8aa2aea17ff80487ac965,warmup
144,True,race_black,2,1,yes,hisp_latin_spanish_no,purple,male,1,False,0,False,0,True,57.0,1,640661c9594e0ae9a8891544,warmup
145,True,race_white,13,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,61.0,1,65bff90a630bb702e291a371,warmup
146,True,race_black,13,1,yes,hisp_latin_spanish_no,purple,female,0,True,1,True,0,True,53.0,1,665e76a1b28c4f1be25e9486,warmup
147,True,race_other,5,1,yes,hisp_latin_spanish_yes,purple,male,0,False,1,False,1,True,33.0,1,5fe3f539dd8cf10e7d545231,warmup
148,True,race_white,10,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,27.0,1,6101fa3f1d04844272d9a714,warmup
149,True,race_other,4,1,yes,hisp_latin_spanish_yes,purple,female,1,False,0,False,0,True,31.0,1,6647b8648a67a4ef6585458a,warmup
150,True,race_white,6,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,27.0,1,62bdfe451d380bec13a4a864,warmup
151,True,race_white,13,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,26.0,1,609f58e8af0f5f3acedd9806,warmup
152,True,race_black,11,1,yes,hisp_latin_spanish_no,purple,male,0,False,1,False,1,True,26.0,1,5c27f83289f035000174a168,warmup
153,True,race_white,8,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,27.0,1,61099bf2a4d469e0ba6bb190,warmup
154,True,race_white,2,1,yes,hisp_latin_spanish_yes,purple,female,1,False,0,False,0,True,21.0,1,60bf7a684146647df3cfecf4,warmup
155,True,race_white,13,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,22.0,1,664e4e02a2ae0239460ff342,warmup
156,True,race_nhpi,1,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,27.0,1,660f117a2dc50cd743df169b,warmup
157,True,race_other,16,1,yes,hisp_latin_spanish_yes,purple,female,0,False,1,False,1,True,23.0,1,65a310e27edb947ce09c873e,warmup
158,True,race_white,16,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,28.0,1,6642e43d54332373256940df,warmup
159,True,race_black,10,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,20.0,1,65f4f9a55754b209484cfd9a,warmup
160,True,race_asian,11,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,40.0,1,6595867278f0d1e8b2378cc6,warmup
161,True,race_white,10,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,66.0,1,614fab0f635698115ad9c784,warmup
162,True,race_white,6,1,yes,hisp_latin_spanish_no,purple,female,0,True,2,True,0,True,38.0,1,66176f946778b74769066dbf,warmup
163,True,race_white,2,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,54.0,1,63fa69b625405a2ae2a9c51c,warmup
164,True,race_white,2,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,22.0,1,663a5c17e8c6aa3f54d39264,warmup
165,True,race_white,6,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,43.0,1,62730c9848db9da9ff3bf670,warmup
166,True,race_white,9,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,54.0,1,599de51717c03c000151b1f4,warmup
167,True,race_white,7,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,23.0,1,5dd9df0e946f7c97406a55ea,warmup
169,True,race_asian,12,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,25.0,1,6670c8577364ff08a21d8bbc,warmup
171,True,race_white,16,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,48.0,1,662a4bb9682f946e5f61d3bb,warmup
173,True,race_other,1,1,yes,hisp_latin_spanish_yes,purple,female,0,True,0,False,0,True,25.0,1,611880d3d174718bfff2fd10,warmup
175,True,race_white,11,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,65.0,1,65a710fc2b70524088c5539c,warmup
176,True,race_white,5,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,45.0,1,665601c6a842ae5874b41ee9,warmup
1248,True,race_white,5,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,38.0,1,5deaf0df6f9b7e221e81d2be,warmup
1251,True,race_white,15,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,31.0,1,6658ee766e2632a6de409027,warmup
1254,True,race_white,15,1,yes,hisp_latin_spanish_no,purple,male,0,False,1,False,1,True,45.0,1,66455972380c92b46853478e,warmup
1256,True,race_white,8,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,73.0,1,62885de1cdfe242015ccacef,warmup
1259,True,race_asian,15,1,yes,hisp_latin_spanish_no,purple,male,0,False,1,False,1,True,33.0,1,61fa945e5719bc09cb834f15,warmup
1262,True,race_white,12,1,yes,hisp_latin_spanish_yes,purple,female,1,True,1,False,1,True,22.0,1,61115178c8a4bbd5832f32ba,warmup
1264,True,"race_black, race_white",4,1,yes,hisp_latin_spanish_no,purple,male,1,False,0,False,0,True,34.0,1,663e4e95e7e0acca1b1cd005,warmup
1267,True,race_white,9,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,61.0,1,5e2bee472b21bb229e9e463e,warmup
1270,True,race_white,12,1,yes,hisp_latin_spanish_no,purple,female,0,False,0,True,1,True,31.0,1,66439b5e31b6b7696176e663,warmup
1272,True,race_white,2,1,yes,hisp_latin_spanish_no,purple,male,0,False,1,False,1,True,28.0,1,664cf1914f41867dc91f9cce,warmup
1275,True,race_asian,5,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,18.0,1,663828f489e1e27b23385780,warmup
1278,True,race_white,11,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,41.0,1,63003bb4d6f83995fb271ba3,warmup
1281,True,race_white,5,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,21.0,1,6107b4aa3c585fe9d8819e83,warmup
1284,True,race_white,9,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,37.0,1,663ff3dd70a4097d25be9a1e,warmup
1287,True,"race_aian, race_black, race_white",15,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,58.0,1,63a4c930cad013279a39566c,warmup
1290,True,race_white,12,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,24.0,1,664cfc0da979d9df5ff968d6,warmup
1293,True,race_white,15,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,52.0,1,65d3e9d847610e1844df6460,warmup
1296,True,race_white,9,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,41.0,1,65edcb21fa595679e6cfbc4b,warmup
1299,True,race_asian,8,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,24.0,1,5ee7903e80706a01ea855d36,warmup
