batch_id,alpha,arm_id,id,beta
106,79,12,1692,34
107,74,4,1700,46
107,78,9,1705,40
107,76,14,1710,46
108,88,3,1715,29
108,58,8,1720,34
108,85,13,1725,41
109,88,3,1731,29
109,58,8,1736,34
109,85,13,1741,41
110,74,4,1748,46
110,78,9,1753,40
110,76,14,1758,46
111,98,1,1761,41
111,73,6,1766,49
111,81,11,1771,28
111,74,16,1776,48
112,89,3,1779,29
112,58,8,1784,34
112,85,13,1789,41
113,89,3,1795,29
113,58,8,1800,34
113,86,13,1805,41
114,89,3,1811,29
114,58,8,1816,34
114,86,13,1821,41
115,90,5,1829,30
115,74,10,1834,43
115,79,15,1839,39
151,91,5,2405,30
151,74,10,2410,43
151,79,15,2415,39
152,99,1,2417,41
152,73,6,2422,50
152,84,11,2427,30
152,74,16,2432,48
153,94,3,2435,31
153,58,8,2440,34
153,86,13,2445,41
154,94,3,2451,31
154,58,8,2456,34
154,86,13,2461,41
155,92,5,2469,30
155,74,10,2474,43
155,79,15,2479,39
156,92,5,2485,30
156,74,10,2490,43
156,79,15,2495,39
157,81,2,2498,47
157,180,7,2503,50
157,81,12,2508,34
158,74,4,2516,46
158,78,9,2521,40
158,76,14,2526,46
159,92,5,2533,30
159,74,10,2538,43
159,79,15,2543,39
160,74,4,2548,46
160,78,9,2553,40
160,76,14,2558,46
161,74,4,2564,46
161,78,9,2569,40
161,76,14,2574,46
162,74,4,2580,46
162,78,9,2585,40
162,76,14,2590,46
163,96,3,2595,31
163,58,8,2600,34
163,86,13,2605,41
164,96,3,2611,31
164,58,8,2616,34
164,86,13,2621,41
10,74,16,160,48
11,98,1,161,41
11,81,5,165,28
11,78,9,169,40
11,85,13,173,41
12,74,4,180,46
12,58,8,184,34
12,79,12,188,34
12,74,16,192,48
13,74,4,196,46
13,58,8,200,34
13,79,12,204,34
13,74,16,208,48
14,74,4,212,46
14,58,8,216,34
14,79,12,220,34
14,74,16,224,48
15,74,4,228,46
15,58,8,232,34
15,79,12,236,34
15,74,16,240,48
16,82,3,243,28
16,112,7,247,28
16,74,11,251,24
16,79,15,255,39
17,82,3,259,28
17,113,7,263,28
17,74,11,267,24
17,79,15,271,39
18,74,4,276,46
18,58,8,280,34
18,79,12,284,34
18,74,16,288,48
19,82,3,291,28
19,78,9,297,40
19,85,13,301,41
82,87,3,1299,29
82,150,7,1303,40
82,78,11,1307,28
82,79,15,1311,39
83,81,2,1314,47
83,73,6,1318,48
83,74,10,1322,43
83,76,14,1326,46
84,81,2,1330,47
84,73,6,1334,48
84,74,10,1338,43
84,76,14,1342,46
85,81,2,1346,47
85,73,6,1350,48
85,74,10,1354,43
85,76,14,1358,46
86,88,3,1363,29
86,150,7,1367,41
86,79,11,1371,28
86,79,15,1375,39
87,81,2,1378,47
87,73,6,1382,48
87,74,10,1386,43
87,76,14,1390,46
88,78,9,1401,40
88,79,12,1404,34
88,74,16,1408,48
101,90,5,1605,30
101,74,10,1610,43
101,79,15,1615,39
102,90,5,1621,30
102,74,10,1626,43
102,79,15,1631,39
103,81,2,1634,47
103,154,7,1639,42
103,79,12,1644,34
104,74,4,1652,46
104,78,9,1657,40
104,76,14,1662,46
105,98,1,1665,41
105,73,6,1670,49
105,80,11,1675,28
105,74,16,1680,48
106,88,3,1683,29
106,58,8,1688,34
106,85,13,1693,41
107,90,5,1701,30
107,74,10,1706,43
107,79,15,1711,39
108,74,4,1716,46
108,78,9,1721,40
108,76,14,1726,46
109,74,4,1732,46
109,78,9,1737,40
109,76,14,1742,46
110,98,1,1745,41
110,73,6,1750,49
110,80,11,1755,28
110,74,16,1760,48
111,89,3,1763,29
111,58,8,1768,34
111,85,13,1773,41
112,90,5,1781,30
112,74,10,1786,43
112,79,15,1791,39
113,90,5,1797,30
113,74,10,1802,43
113,79,15,1807,39
114,90,5,1813,30
114,74,10,1818,43
114,79,15,1823,39
115,81,2,1826,47
115,160,7,1831,44
115,79,12,1836,34
164,73,6,2614,50
164,84,11,2619,30
164,74,16,2624,48
165,81,2,2626,47
165,186,7,2631,50
165,81,12,2636,34
166,74,4,2644,46
166,78,9,2649,40
166,76,14,2654,46
167,74,4,2660,46
167,78,9,2665,40
167,76,14,2670,46
168,99,1,2673,41
168,73,6,2678,50
168,84,11,2683,30
168,74,16,2688,48
169,81,2,2690,47
169,188,7,2695,50
169,81,12,2700,34
170,81,2,2706,47
170,188,7,2711,51
170,81,12,2716,34
179,99,1,2849,41
179,73,6,2854,50
179,84,11,2859,31
179,74,16,2864,48
180,74,4,2868,46
180,78,9,2873,40
180,76,14,2878,46
181,81,2,2882,47
181,194,7,2887,52
181,81,12,2892,34
182,81,2,2898,47
182,194,7,2903,52
182,81,12,2908,34
183,94,5,2917,32
183,74,10,2922,43
183,79,15,2927,39
184,94,5,2933,32
184,74,10,2938,43
184,79,15,2943,39
185,94,5,2949,32
185,74,10,2954,43
185,79,15,2959,39
186,74,4,2964,46
186,78,9,2969,40
186,76,14,2974,46
11,81,2,162,47
11,73,6,166,48
11,74,10,170,43
11,75,14,174,46
12,98,1,177,41
12,81,5,181,28
12,78,9,185,40
12,85,13,189,41
13,98,1,193,41
13,81,5,197,28
13,78,9,201,40
13,85,13,205,41
14,98,1,209,41
14,81,5,213,28
14,78,9,217,40
14,85,13,221,41
15,81,2,226,47
15,73,6,230,48
15,74,10,234,43
15,76,14,238,46
16,98,1,241,41
16,82,5,245,28
16,78,9,249,40
16,85,13,253,41
17,98,1,257,41
17,82,5,261,28
17,78,9,265,40
17,85,13,269,41
18,81,2,274,47
18,73,6,278,48
18,74,10,282,43
18,76,14,286,46
19,98,1,289,41
19,82,5,293,28
19,58,8,296,34
19,79,12,300,34
19,74,16,304,48
20,98,1,305,41
20,81,2,306,47
20,82,3,307,28
20,74,4,308,46
20,83,5,309,28
20,73,6,310,48
20,115,7,311,29
20,58,8,312,34
20,78,9,313,40
20,74,10,314,43
20,74,11,315,24
20,79,12,316,34
20,85,13,317,41
20,76,14,318,46
20,79,15,319,39
20,74,16,320,48
21,98,1,321,41
21,81,2,322,47
21,82,3,323,28
21,74,4,324,46
21,83,5,325,28
21,73,6,326,48
21,116,7,327,29
21,58,8,328,34
21,78,9,329,40
21,74,10,330,43
21,74,11,331,24
21,79,12,332,34
21,85,13,333,41
21,76,14,334,46
21,79,15,335,39
21,74,16,336,48
22,98,1,337,41
22,81,2,338,47
22,82,3,339,28
22,74,4,340,46
22,84,5,341,28
22,73,6,342,48
22,116,7,343,30
22,58,8,344,34
22,78,9,345,40
22,74,10,346,43
22,74,11,347,24
22,79,12,348,34
22,85,13,349,41
22,76,14,350,46
22,79,15,351,39
22,74,16,352,48
23,98,1,353,41
23,81,2,354,47
23,82,3,355,28
23,74,4,356,46
23,84,5,357,28
23,73,6,358,48
23,117,7,359,30
23,58,8,360,34
23,78,9,361,40
23,74,10,362,43
23,74,11,363,24
23,79,12,364,34
23,85,13,365,41
23,76,14,366,46
23,79,15,367,39
23,74,16,368,48
24,98,1,369,41
24,81,2,370,47
24,82,3,371,28
24,74,4,372,46
24,84,5,373,28
24,73,6,374,48
24,118,7,375,30
24,58,8,376,34
24,78,9,377,40
24,74,10,378,43
24,74,11,379,24
24,79,12,380,34
24,85,13,381,41
24,76,14,382,46
24,79,15,383,39
24,74,16,384,48
25,98,1,385,41
25,81,2,386,47
25,82,3,387,28
25,74,4,388,46
25,84,5,389,28
25,73,6,390,48
25,118,7,391,30
25,58,8,392,34
25,78,9,393,40
25,74,10,394,43
25,75,11,395,24
25,79,12,396,34
25,85,13,397,41
25,76,14,398,46
25,79,15,399,39
25,74,16,400,48
26,98,1,401,41
26,81,2,402,47
26,82,3,403,28
26,74,4,404,46
26,84,5,405,28
26,73,6,406,48
26,119,7,407,30
26,58,8,408,34
26,78,9,409,40
26,74,10,410,43
26,75,11,411,24
26,79,12,412,34
26,85,13,413,41
26,76,14,414,46
26,79,15,415,39
26,74,16,416,48
27,98,1,417,41
27,81,2,418,47
27,82,3,419,28
27,74,4,420,46
27,85,5,421,28
27,73,6,422,48
27,119,7,423,30
27,58,8,424,34
27,78,9,425,40
27,85,13,429,41
28,82,3,435,28
28,119,7,439,31
28,75,11,443,24
28,79,15,447,39
82,74,4,1300,46
82,58,8,1304,34
82,79,12,1308,34
82,74,16,1312,48
83,87,3,1315,29
83,150,7,1319,40
83,78,11,1323,28
83,79,15,1327,39
84,98,1,1329,41
84,89,5,1333,30
84,78,9,1337,40
84,85,13,1341,41
85,98,1,1345,41
85,89,5,1349,30
85,78,9,1353,40
85,85,13,1357,41
86,81,2,1362,47
86,73,6,1366,48
86,74,10,1370,43
86,76,14,1374,46
87,98,1,1377,41
87,89,5,1381,30
87,78,9,1385,40
87,85,13,1389,41
88,76,14,1406,46
116,98,1,1841,41
116,73,6,1846,49
116,81,11,1851,29
116,74,16,1856,48
117,81,2,1858,47
117,161,7,1863,44
117,79,12,1868,34
118,81,2,1874,47
118,162,7,1879,44
118,79,12,1884,34
119,81,2,1890,47
119,162,7,1895,44
119,79,12,1900,34
120,98,1,1905,41
120,73,6,1910,50
120,81,11,1915,29
120,74,16,1920,48
121,89,3,1923,29
121,58,8,1928,34
121,86,13,1933,41
122,91,5,1941,30
122,74,10,1946,43
122,79,15,1951,39
123,91,5,1957,30
123,74,10,1962,43
123,79,15,1967,39
124,81,2,1970,47
124,165,7,1975,45
124,79,12,1980,34
125,81,2,1986,47
125,166,7,1991,45
125,79,12,1996,34
126,81,2,2002,47
126,166,7,2007,45
126,79,12,2012,34
127,81,2,2018,47
127,166,7,2023,45
127,79,12,2028,34
128,91,3,2035,29
128,58,8,2040,34
128,86,13,2045,41
129,91,3,2051,29
129,74,10,2058,43
129,79,15,2063,39
130,91,3,2067,29
130,58,8,2072,34
130,86,13,2077,41
131,74,4,2084,46
131,78,9,2089,40
131,76,14,2094,46
132,91,5,2101,30
132,74,10,2106,43
132,79,15,2111,39
165,74,4,2628,46
165,78,9,2633,40
165,76,14,2638,46
166,99,1,2641,41
166,73,6,2646,50
166,84,11,2651,30
166,74,16,2656,48
167,99,1,2657,41
167,73,6,2662,50
167,84,11,2667,30
167,74,16,2672,48
168,97,3,2675,31
168,58,8,2680,34
168,86,13,2685,41
169,74,4,2692,46
169,78,9,2697,40
169,76,14,2702,46
170,74,4,2708,46
170,78,9,2713,40
170,76,14,2718,46
179,81,2,2850,47
179,193,7,2855,52
179,81,12,2860,34
180,93,5,2869,32
180,74,10,2874,43
180,79,15,2879,39
181,98,3,2883,31
181,58,8,2888,34
181,86,13,2893,41
182,99,3,2899,31
182,58,8,2904,34
182,86,13,2909,41
183,99,1,2913,41
183,73,6,2918,50
183,84,11,2923,31
183,74,16,2928,48
184,99,1,2929,41
184,73,6,2934,50
184,84,11,2939,31
184,74,16,2944,48
185,99,1,2945,41
185,73,6,2950,50
185,84,11,2955,31
185,74,16,2960,48
186,94,5,2965,32
186,74,10,2970,43
186,79,15,2975,39
187,99,1,2977,41
187,73,6,2982,50
187,84,11,2987,32
187,74,16,2992,48
188,101,3,2995,31
188,58,8,3000,34
188,86,13,3005,41
189,101,3,3011,31
189,58,8,3016,34
189,86,13,3021,41
190,99,1,3025,41
190,73,6,3030,50
190,84,11,3035,32
190,74,16,3040,48
191,94,5,3045,32
191,74,10,3050,43
191,79,15,3055,39
192,74,4,3060,46
192,78,9,3065,40
192,76,14,3070,46
193,99,1,3073,41
193,73,6,3078,50
193,85,11,3083,32
193,74,16,3088,48
194,102,3,3091,31
194,58,8,3096,34
27,74,10,426,43
27,76,14,430,46
28,74,4,436,46
28,58,8,440,34
28,79,12,444,34
28,74,16,448,48
89,98,1,1409,41
89,73,6,1414,48
89,80,11,1419,28
89,74,16,1424,48
90,89,5,1429,30
90,74,10,1434,43
90,79,15,1439,39
91,74,4,1444,46
91,78,9,1449,40
91,76,14,1454,46
92,88,3,1459,29
92,58,8,1464,34
92,85,13,1469,41
93,81,2,1474,47
93,152,7,1479,42
93,79,12,1484,34
94,98,1,1489,41
94,73,6,1494,48
94,80,11,1499,28
94,74,16,1504,48
95,89,5,1509,30
95,74,10,1514,43
95,79,15,1519,39
96,74,4,1524,46
96,78,9,1529,40
96,76,14,1534,46
97,88,3,1539,29
97,58,8,1544,34
97,85,13,1549,41
98,81,2,1554,47
98,152,7,1559,42
98,79,12,1564,34
99,98,1,1569,41
99,73,6,1574,48
99,80,11,1579,28
99,74,16,1584,48
116,81,2,1842,47
116,161,7,1847,44
116,79,12,1852,34
117,89,3,1859,29
117,58,8,1864,34
117,86,13,1869,41
118,89,3,1875,29
118,58,8,1880,34
118,86,13,1885,41
119,89,3,1891,29
119,58,8,1896,34
119,86,13,1901,41
120,81,2,1906,47
120,163,7,1911,44
120,79,12,1916,34
121,74,4,1924,46
121,78,9,1929,40
121,76,14,1934,46
122,98,1,1937,41
122,73,6,1942,50
122,81,11,1947,29
122,74,16,1952,48
123,98,1,1953,41
123,73,6,1958,50
123,82,11,1963,29
123,74,16,1968,48
124,89,3,1971,29
124,58,8,1976,34
124,86,13,1981,41
125,89,3,1987,29
125,58,8,1992,34
125,86,13,1997,41
126,90,3,2003,29
126,58,8,2008,34
126,86,13,2013,41
127,91,3,2019,29
127,58,8,2024,34
127,86,13,2029,41
128,74,4,2036,46
128,78,9,2041,40
128,76,14,2046,46
129,74,4,2052,46
129,58,8,2056,34
129,79,12,2060,34
130,98,1,2065,41
130,73,6,2070,50
130,82,11,2075,29
130,74,16,2080,48
131,81,2,2082,47
131,169,7,2087,45
131,79,12,2092,34
132,91,3,2099,29
132,58,8,2104,34
132,86,13,2109,41
171,99,1,2721,41
171,73,6,2726,50
171,84,11,2731,30
171,74,16,2736,48
172,99,1,2737,41
172,73,6,2742,50
172,84,11,2747,30
172,74,16,2752,48
173,99,1,2753,41
173,73,6,2758,50
173,84,11,2763,30
173,74,16,2768,48
174,99,1,2769,41
174,73,6,2774,50
174,84,11,2779,30
174,74,16,2784,48
175,93,5,2789,31
175,74,10,2794,43
175,79,15,2799,39
176,99,1,2801,41
176,73,6,2806,50
176,84,11,2811,30
176,74,16,2816,48
177,98,3,2819,31
177,58,8,2824,34
177,86,13,2829,41
178,98,3,2835,31
178,58,8,2840,34
178,86,13,2845,41
179,98,3,2851,31
179,58,8,2856,34
179,86,13,2861,41
180,99,1,2865,41
180,73,6,2870,50
180,84,11,2875,31
180,74,16,2880,48
181,74,4,2884,46
181,78,9,2889,40
181,76,14,2894,46
182,99,1,2897,41
182,73,6,2902,50
182,84,11,2907,31
182,74,16,2912,48
183,74,4,2916,46
183,78,9,2921,40
183,76,14,2926,46
184,74,4,2932,46
184,78,9,2937,40
184,76,14,2942,46
185,74,4,2948,46
185,78,9,2953,40
185,76,14,2958,46
186,100,3,2963,31
186,58,8,2968,34
186,86,13,2973,41
187,74,4,2980,46
187,78,9,2985,40
187,76,14,2990,46
188,81,2,2994,47
188,197,7,2999,52
188,81,12,3004,34
27,75,11,427,24
27,79,15,431,39
28,98,1,433,41
28,85,5,437,28
28,78,9,441,40
28,85,13,445,41
89,81,2,1410,47
89,152,7,1415,42
89,79,12,1420,34
90,98,1,1425,41
90,73,6,1430,48
90,80,11,1435,28
90,74,16,1440,48
91,89,5,1445,30
91,74,10,1450,43
91,79,15,1455,39
92,74,4,1460,46
92,78,9,1465,40
92,76,14,1470,46
93,88,3,1475,29
93,58,8,1480,34
93,85,13,1485,41
94,81,2,1490,47
94,152,7,1495,42
94,79,12,1500,34
95,98,1,1505,41
95,73,6,1510,48
95,80,11,1515,28
95,74,16,1520,48
96,89,5,1525,30
96,74,10,1530,43
96,79,15,1535,39
97,74,4,1540,46
97,78,9,1545,40
97,76,14,1550,46
98,88,3,1555,29
98,58,8,1560,34
98,85,13,1565,41
99,81,2,1570,47
99,152,7,1575,42
99,79,12,1580,34
116,89,3,1843,29
116,58,8,1848,34
116,86,13,1853,41
117,74,4,1860,46
117,78,9,1865,40
117,76,14,1870,46
118,74,4,1876,46
118,78,9,1881,40
118,76,14,1886,46
119,74,4,1892,46
119,78,9,1897,40
119,76,14,1902,46
120,89,3,1907,29
120,58,8,1912,34
120,86,13,1917,41
121,91,5,1925,30
121,74,10,1930,43
121,79,15,1935,39
122,81,2,1938,47
122,164,7,1943,45
122,79,12,1948,34
123,81,2,1954,47
123,164,7,1959,45
123,79,12,1964,34
124,74,4,1972,46
124,78,9,1977,40
124,76,14,1982,46
125,74,4,1988,46
125,78,9,1993,40
125,76,14,1998,46
126,74,4,2004,46
126,78,9,2009,40
126,76,14,2014,46
127,74,4,2020,46
127,78,9,2025,40
127,76,14,2030,46
128,91,5,2037,30
128,74,10,2042,43
128,79,15,2047,39
129,91,5,2053,30
129,78,9,2057,40
129,76,14,2062,46
130,91,5,2069,30
130,74,10,2074,43
130,79,15,2079,39
131,99,1,2081,41
131,73,6,2086,50
131,82,11,2091,29
131,74,16,2096,48
132,81,2,2098,47
132,169,7,2103,46
132,79,12,2108,34
171,81,2,2722,47
171,188,7,2727,51
171,81,12,2732,34
172,81,2,2738,47
172,189,7,2743,51
172,81,12,2748,34
173,81,2,2754,47
173,190,7,2759,51
173,81,12,2764,34
174,81,2,2770,47
174,191,7,2775,51
174,81,12,2780,34
175,99,1,2785,41
175,73,6,2790,50
175,84,11,2795,30
175,74,16,2800,48
176,81,2,2802,47
176,192,7,2807,51
176,81,12,2812,34
177,74,4,2820,46
177,78,9,2825,40
177,76,14,2830,46
178,74,4,2836,46
178,78,9,2841,40
178,76,14,2846,46
179,74,4,2852,46
179,78,9,2857,40
179,76,14,2862,46
180,81,2,2866,47
180,194,7,2871,52
180,81,12,2876,34
181,99,1,2881,41
181,73,6,2886,50
181,84,11,2891,31
181,74,16,2896,48
182,94,5,2901,32
182,74,10,2906,43
182,79,15,2911,39
183,100,3,2915,31
183,58,8,2920,34
183,86,13,2925,41
184,100,3,2931,31
184,58,8,2936,34
184,86,13,2941,41
185,100,3,2947,31
185,58,8,2952,34
185,86,13,2957,41
186,81,2,2962,47
186,196,7,2967,52
186,81,12,2972,34
187,100,3,2979,31
187,58,8,2984,34
187,86,13,2989,41
188,94,5,2997,32
188,74,10,3002,43
188,79,15,3007,39
189,94,5,3013,32
189,74,10,3018,43
189,79,15,3023,39
190,101,3,3027,31
190,58,8,3032,34
190,86,13,3037,41
191,99,1,3041,41
191,73,6,3046,50
27,79,12,428,34
27,74,16,432,48
28,81,2,434,47
28,73,6,438,48
28,74,10,442,43
28,76,14,446,46
29,98,1,449,41
29,81,2,450,47
29,82,3,451,28
29,74,4,452,46
29,85,5,453,28
29,73,6,454,48
29,120,7,455,31
29,58,8,456,34
29,78,9,457,40
29,74,10,458,43
29,75,11,459,24
29,79,12,460,34
29,85,13,461,41
29,76,14,462,46
29,79,15,463,39
29,74,16,464,48
30,98,1,465,41
30,81,2,466,47
30,82,3,467,28
30,74,4,468,46
30,85,5,469,28
30,73,6,470,48
30,120,7,471,31
30,58,8,472,34
30,78,9,473,40
30,74,10,474,43
30,75,11,475,25
30,79,12,476,34
30,85,13,477,41
30,76,14,478,46
30,79,15,479,39
30,74,16,480,48
31,98,1,481,41
31,81,2,482,47
31,82,3,483,28
31,74,4,484,46
31,85,5,485,28
31,73,6,486,48
31,120,7,487,32
31,58,8,488,34
31,78,9,489,40
31,74,10,490,43
31,75,11,491,25
31,79,12,492,34
31,85,13,493,41
31,76,14,494,46
31,79,15,495,39
31,74,16,496,48
32,98,1,497,41
32,81,2,498,47
32,83,3,499,28
32,74,4,500,46
