id,batch_id,batch_type,PreScreen_Q1,Commitment_Q1,Commitment_Q2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Manipulation_Q1,Manipulation_Q2,Manipulation_Q2_TEXT,QD2,QD2_1_TEXT,QD3_1,QD3_2,QD3_3,QD3_4,QD3_5,QD3_6,QD3_7,QD4,QD5,rnum,pi1,pi2,pi3,pi4,pi5,pi6,pi7,rnum_age,age1,age2,first_name1,first_name2,pol_exp1,pol_exp2,career1,career2
35,4,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,Candidate 2,,,,Candidate 2,,,Age,32,,,Black or African American,,,,,No,Female,0.4122102224296448,0.041,0.355,0.476,0.525,0.579,0.78,0.896,0.29130702449272083,49,62,Tanisha Rivers,Keisha Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
36,100,Validation,Yes,"Yes, I will",purple,,,,,,Candidate 2,,,Candidate 1,,,Age,64,,,,,White,,,No,Male,0.6043104796214752,0,0,0,0,0.5,1,1,0.6901704130438553,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
37,1,Iterative Batch Phase: Max,Yes,"Yes, I will",Purple,,,,,,,,Candidate 1,Candidate 2,,,Age,26,,,,,White,,,No,Female,0.45530816830119775,0.071,0.241,0.264,0.277,0.579,0.741,0.768,0.24077222944255272,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
38,1,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,Candidate 2,,,Candidate 2,,,Age,48,,,Black or African American,,,,,No,Male,0.4541482265233407,0.111,0.146,0.346,0.738,0.748,0.781,0.982,0.8472630169352663,62,49,Tanisha Rivers,Keisha Mosely,No experience,No experience,Restaurant owner,Small business owner
39,6,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,Candidate 2,,,,,,Candidate 1,,,Age,69,,,,,White,,,No,Male,0.736466268714626,0.045,0.123,0.288,0.392,0.474,0.891,0.965,0.8913528306622414,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
40,15,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,,,Candidate 2,Candidate 1,,,Age,36,,,,,White,,,No,Male,0.18796721803675573,0.042,0.09,0.157,0.552,0.683,0.896,0.924,0.8801436661463565,62,49,Tanisha Rivers,Keisha Mosely,No experience,No experience,Restaurant owner,Small business owner
41,100,Validation,Yes,"Yes, I will",purple,,,,,Candidate 2,,,,Candidate 1,,,Age,65,,,Black or African American,,,,,No,Male,0.07965563868164449,0,0,0,0,0.5,1,1,0.8947340887726131,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
42,100,Validation,Yes,"Yes, I will",purple,,,Candidate 2,,,,,,Candidate 1,,,Age,25,,Asian,,,,,,No,Female,0.533565813334092,0,0,0,0,0.5,1,1,0.7907272946999239,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
43,100,Validation,Yes,"Yes, I will",purple,,,,,Candidate 2,,,,Candidate 1,,,Age,50,,,Black or African American,,,,,No,Male,0.49931787082443896,0,0,0,0,0.5,1,1,0.7241344148582161,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
44,100,Validation,Yes,"Yes, I will",purple,,,,,,Candidate 1,,,Candidate 2,,,Age,70,,,,,White,,,No,Male,0.8487146636118914,0,0,0,0,0.5,1,1,0.209235916894217,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
45,0,Warmup,Yes,"Yes, I will",Purple,,,,,Candidate 2,,,,Candidate 2,,,Age,43,,,,,White,,,No,Female,0.8528853996779968,0.125,0.25,0.375,0.5,0.625,0.75,0.875,0.04808279756644806,49,62,Brendan Schmitt,Jay O'Connell,Member of Congress,State legislator,Restaurant owner,Small business owner
46,19,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,Candidate 2,,,,,,,Candidate 1,,,Age,33,,,,,White,,,No,Male,0.9880361466175028,0.04,0.053,0.083,0.255,0.36,0.959,0.975,0.956102246175544,62,49,Brendan Schmitt,Jay O'Connell,No experience,No experience,Restaurant owner,Small business owner
47,3,Iterative Batch Phase: Max,Yes,"Yes, I will",purple,,Candidate 2,,,,,,,Candidate 2,,,Age,47,,,Black or African American,,,,,No,Male,0.4923972339584486,0.028,0.073,0.078,0.094,0.813,0.925,0.94,0.20944243907216992,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
48,4,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,,Candidate 1,,Candidate 1,,,Age,27,,,,,White,,,No,Male,0.711201743155532,0.041,0.355,0.476,0.525,0.579,0.78,0.896,0.8170519552233284,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
49,100,Validation,Yes,"Yes, I will",purple,,,,Candidate 1,,,,,Candidate 2,,,Age,38,,,,,White,,,No,Female,0.9367457888873169,0,0,0,0,0.5,1,1,0.1759636721517806,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
50,100,Validation,Yes,"Yes, I will",purple,,,Candidate 2,,,,,,Candidate 1,,,Age,43,,,,,White,,,No,Male,0.6869345281009875,0,0,0,0,0.5,1,1,0.9997180013451068,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
51,100,Validation,Yes,"Yes, I will",purple,,,,,,Candidate 1,,,Candidate 1,,,Age,47,,,Black or African American,,,,,No,Male,0.14045295378669467,0,0,0,0,0.5,1,1,0.5860411486555918,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
52,100,Validation,Yes,"Yes, I will",purple,Candidate 1,,,,,,,,Candidate 1,,,Age,19,,,,,White,,,No,Female,0.20253440998553637,0,0,0,0,0.5,1,1,0.221904857368652,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
53,20,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,,,Candidate 1,Candidate 1,,,Age,80,,,,,White,,,No,Male,0.00825846684357581,0.055,0.069,0.098,0.309,0.421,0.967,0.987,0.9981249608095096,62,49,Laurie Schmitt,Allison O'Connell,Member of Congress,State legislator,Restaurant owner,Small business owner
54,100,Validation,Yes,"Yes, I will",purple,,,,,,,Candidate 2,,Candidate 1,,,Age,55,,,,,White,,,No,Female,0.1846428425481177,0,0,0,0,0.5,1,1,0.8022242460405045,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
55,19,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,,Candidate 1,,Candidate 2,,,Age,40,,,,,White,,,Yes,Female,0.5295679763726816,0.04,0.053,0.083,0.255,0.36,0.959,0.975,0.31558098371969096,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
56,4,Iterative Batch Phase: Max,Yes,"Yes, I will",purple,,,,,,,Candidate 2,,Candidate 1,,,Age,34,,,Black or African American,,,,,No,Female,0.4336913447905544,0.035,0.102,0.108,0.12,0.856,0.901,0.916,0.9940658116233688,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
57,16,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,,Candidate 1,,Candidate 2,,,Age,23,,,Black or African American,,,,,No,Female,0.12413847030236816,0.026,0.065,0.107,0.41,0.494,0.91,0.949,0.3168970135312753,49,62,Tanisha Rivers,Keisha Mosely,No experience,No experience,Restaurant owner,Small business owner
58,14,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,Candidate 2,,,,,,Candidate 1,,,Age,36,,Asian,,,White,,,No,Male,0.4936753568457615,0.046,0.098,0.158,0.614,0.753,0.946,0.973,0.7414639728938844,62,49,Tanisha Rivers,Keisha Mosely,No experience,No experience,Restaurant owner,Small business owner
59,100,Validation,Yes,"Yes, I will",Purple,,,,Candidate 1,,,,,Candidate 2,,,Age,29,,,,,White,,,Yes,Male,0.7833122650122532,0,0,0,0,0.5,1,1,0.1615990016520021,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
60,100,Validation,Yes,"Yes, I will",purple,,Candidate 1,,,,,,,Candidate 2,,,Age,45,,,,,White,,,No,Male,0.2594431725469053,0,0,0,0,0.5,1,1,0.37790013555854096,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
61,100,Validation,Yes,"Yes, I will",purple,,,,,,,,Candidate 1,Candidate 2,,,Age,24,,,,,White,,,No,Female,0.6521748035801982,0,0,0,0,0.5,1,1,0.35967500981867195,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
62,11,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,Candidate 1,,,,,Candidate 2,,,Age,41,,,,,White,,,No,Female,0.3213024591843836,0.023,0.084,0.135,0.522,0.636,0.947,0.981,0.4879648195318796,49,62,Tanisha Rivers,Keisha Mosely,No experience,No experience,Restaurant owner,Small business owner
63,9,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,Candidate 1,,,Candidate 2,,,Age,58,,,,,White,,,No,Male,0.848412749555058,0.027,0.093,0.243,0.484,0.547,0.783,0.968,0.2088045629693206,49,62,Brendan Schmitt,Jay O'Connell,Member of Congress,State legislator,Restaurant owner,Small business owner
64,100,Validation,Yes,"Yes, I will",purple,,,,,,,Candidate 2,,Candidate 1,,,Age,24,,,Black or African American,,,,,No,Female,0.8787581009973674,0,0,0,0,0.5,1,1,0.9469476933467544,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
65,16,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,Candidate 1,,,Candidate 1,,,Age,61,,,,,White,,,No,Female,0.7274539339652876,0.026,0.065,0.107,0.41,0.494,0.91,0.949,0.6989820123880595,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
66,1,Iterative Batch Phase: Max,Yes,"Yes, I will",purple,,Candidate 2,,,,,,,Candidate 1,,,Age,36,,,,,White,Other,,Yes,Female,0.9134864392488932,0.071,0.241,0.264,0.277,0.579,0.741,0.768,0.8503203882952967,62,49,Brendan Schmitt,Jay O'Connell,No experience,No experience,Restaurant owner,Small business owner
67,8,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,Candidate 1,,,Candidate 2,,,Age,29,,,,,White,,,No,Male,0.3797094077755952,0.017,0.073,0.193,0.444,0.498,0.869,0.968,0.31365617395230944,49,62,Tanisha Rivers,Keisha Mosely,No experience,No experience,Restaurant owner,Small business owner
68,3,Iterative Batch Phase: Max,Yes,"Yes, I will",purple,,,,,,,,Candidate 2,Candidate 1,,,Age,75,,,,,White,,,No,Male,0.6412741541027264,0.028,0.073,0.078,0.094,0.813,0.925,0.94,0.9991258471270852,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
69,9,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,Candidate 2,,,,,,,,Candidate 1,,,Age,65,,,,,White,,,No,Male,0.8968353040741839,0.027,0.093,0.243,0.484,0.547,0.783,0.968,0.8158342022951306,62,49,Brendan Schmitt,Jay O'Connell,Member of Congress,State legislator,Restaurant owner,Small business owner
70,14,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,Candidate 2,,,,Candidate 1,,,Age,31,,Asian,,,,,,No,Male,0.11716157806039824,0.046,0.098,0.158,0.614,0.753,0.946,0.973,0.7044861874786407,62,49,Tanisha Rivers,Keisha Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
71,13,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,,,Candidate 1,Candidate 2,,,Age,26,,,Black or African American,,,,,No,Female,0.4177281450055838,0.046,0.108,0.144,0.455,0.677,0.952,0.978,0.06931573992346314,49,62,Tanisha Rivers,Keisha Mosely,No experience,No experience,Restaurant owner,Small business owner
72,8,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,Candidate 2,,,,,,,,Candidate 1,,,Age,25,,,,,White,,,No,Male,0.5741606358378568,0.017,0.073,0.193,0.444,0.498,0.869,0.968,0.8705949075218744,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
73,100,Validation,Yes,"Yes, I will",purple,,Candidate 1,,,,,,,Candidate 2,,,Age,36,,,,,White,,,No,Female,0.12306737413701307,0,0,0,0,0.5,1,1,0.3475145637866842,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
74,100,Validation,Yes,"Yes, I will",purple,,Candidate 2,,,,,,,Candidate 1,,,Age,28,,Asian,,,,,,No,Female,0.8270359986524647,0,0,0,0,0.5,1,1,0.730387029873763,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
75,100,Validation,Yes,"Yes, I will",purple,,Candidate 1,,,,,,,Candidate 1,,,Age,53,,,,,White,,,No,Female,0.8341831843913959,0,0,0,0,0.5,1,1,0.8085264677201692,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
76,4,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,Candidate 2,,,,,,,,Candidate 2,,,Age,32,,,,,White,,,No,Male,0.4706710757386571,0.041,0.355,0.476,0.525,0.579,0.78,0.896,0.4686672292809624,49,62,Tanisha Rivers,Keisha Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
77,0,Warmup,Yes,"Yes, I will",purple,,,,Candidate 1,,,,,Candidate 2,,,Age,27,,,,,,,Prefer not to disclose,Prefer not to disclose,Male,0.0213908038617556,0.125,0.25,0.375,0.5,0.625,0.75,0.875,0.25044954853375667,49,62,Laurie Schmitt,Allison O'Connell,Member of Congress,State legislator,Restaurant owner,Small business owner
78,100,Validation,Yes,"Yes, I will",purple,,,,,,,Candidate 1,,Candidate 2,,,Age,50,,,,,White,,,No,Female,0.43143147519590136,0,0,0,0,0.5,1,1,0.1124954968952796,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
79,0,Warmup,Yes,"Yes, I will",purple,Candidate 1,,,,,,,,Candidate 2,,,Age,28,,,,,White,,,No,Male,0.1458539762873794,0.125,0.25,0.375,0.5,0.625,0.75,0.875,0.1445339559913925,49,62,Laurie Schmitt,Allison O'Connell,No experience,No experience,Restaurant owner,Small business owner
80,100,Validation,Yes,"Yes, I will",Purple,,,,,Candidate 1,,,,Candidate 2,,,Age,22,,,,,White,,,No,Female,0.978822759813355,0,0,0,0,0.5,1,1,0.35896480976579825,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
81,11,Iterative Batch Phase: Min,Yes,"Yes, I will",Purple,,,,Candidate 2,,,,,Candidate 1,,,Age,50,,,,,White,,,No,Female,0.02326406026800723,0.023,0.084,0.135,0.522,0.636,0.947,0.981,0.612583174745688,62,49,Laurie Schmitt,Allison O'Connell,No experience,No experience,Restaurant owner,Small business owner
82,100,Validation,Yes,"Yes, I will",purple,,Candidate 1,,,,,,,Candidate 2,,,Age,26,,Asian,,,,,,No,Female,0.2248634032962991,0,0,0,0,0.5,1,1,0.4362547829365951,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
83,7,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,,,Candidate 1,Candidate 1,,,Age,50,,,,,White,,,No,Female,0.3684862706271201,0.022,0.112,0.218,0.572,0.637,0.878,0.963,0.6825787964469238,62,49,Tanisha Rivers,Keisha Mosely,No experience,No experience,Restaurant owner,Small business owner
84,9,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,Candidate 1,,,Candidate 2,,,Age,32,,,,,White,,,No,Male,0.5956153433294071,0.027,0.093,0.243,0.484,0.547,0.783,0.968,0.1556909380377482,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
85,3,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,Candidate 1,,,,Candidate 2,,,Age,29,,Asian,,Native Hawaiian or Other Pacific Islander,White,,,No,Male,0.6860260448153191,0.042,0.143,0.369,0.416,0.607,0.833,0.914,0.08607508872777109,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
